,Furniture,Office Supplies,Technology
2011-01-04,0.0,16.448,0.0
2011-01-05,0.0,288.06,0.0
2011-01-06,0.0,19.536,0.0
2011-01-07,2573.82,685.34,1147.94
2011-01-08,76.72800000000001,10.429999999999998,0.0
2011-01-09,0.0,0.0,0.0
2011-01-10,0.0,9.344,31.200000000000003
2011-01-11,51.94,2.89,0.0
2011-01-12,9.94,0.0,0.0
2011-01-13,0.0,0.0,0.0
2011-01-14,879.9389999999999,2027.1160000000004,646.74
2011-01-15,61.96,0.0,0.0
2011-01-16,0.0,0.0,149.95
2011-01-17,127.10400000000001,48.66000000000001,124.19999999999999
2011-01-18,0.0,0.0,0.0
2011-01-19,0.0,64.864,0.0
2011-01-20,181.47000000000003,197.124,0.0
2011-01-21,1413.51,560.4300000000001,699.93
2011-01-22,25.248,0.0,0.0
2011-01-23,0.0,0.0,0.0
2011-01-24,0.0,46.019999999999996,0.0
2011-01-25,0.0,0.0,0.0
2011-01-26,0.0,0.0,0.0
2011-01-27,217.20000000000002,536.72,343.33
2011-01-28,333.0,93.66999999999999,0.0
2011-01-29,0.0,3.9280000000000004,0.0
2011-01-30,0.0,0.0,0.0
2011-01-31,0.0,240.5,0.0
2011-02-01,290.666,0.0,0.0
2011-02-02,0.0,0.0,468.90000000000003
2011-02-03,0.0,30.686000000000003,180.96
2011-02-04,0.0,97.11200000000001,0.0
2011-02-05,0.0,134.38400000000001,0.0
2011-02-06,0.0,0.0,0.0
2011-02-07,0.0,23.951999999999998,306.56
2011-02-08,0.0,64.96,115.36
2011-02-09,14.56,0.0,0.0
2011-02-10,0.0,0.0,0.0
2011-02-11,0.0,0.0,0.0
2011-02-12,1650.05,158.9,234.45000000000002
2011-02-13,129.568,0.0,0.0
2011-02-14,0.0,0.0,0.0
2011-02-15,0.0,336.756,239.96999999999997
2011-02-16,0.0,21.36,0.0
2011-02-17,0.0,9.039999999999997,0.0
2011-02-18,0.0,54.208,0.0
2011-02-19,25.16,12.624,0.0
2011-02-20,0.0,0.0,0.0
2011-02-21,20.32,12.96,62.31
2011-02-22,0.0,8.849999999999998,0.0
2011-02-23,0.0,19.44,0.0
2011-02-24,0.0,11.364,0.0
2011-02-25,0.0,55.672000000000004,0.0
2011-02-26,0.0,0.0,0.0
2011-02-27,0.0,0.0,0.0
2011-02-28,0.0,19.456000000000003,0.0
2011-03-01,1893.995,303.216,5.9399999999999995
2011-03-02,0.0,51.184,151.20000000000002
2011-03-03,928.8020000000001,407.09999999999997,9.99
2011-03-04,0.0,370.45200000000006,0.0
2011-03-05,0.0,225.59199999999998,479.97
2011-03-06,0.0,0.0,0.0
2011-03-07,966.9840000000002,594.078,0.0
2011-03-08,0.0,0.0,0.0
2011-03-09,0.0,0.0,0.0
2011-03-10,0.0,741.9560000000001,0.0
2011-03-11,8.32,289.064,620.9300000000001
2011-03-12,0.0,0.0,0.0
2011-03-13,0.0,0.0,0.0
2011-03-14,1139.92,310.91999999999996,657.71
2011-03-15,45.696,325.086,0.0
2011-03-16,0.0,0.0,471.92
2011-03-17,3265.23,695.128,0.0
2011-03-18,1462.4499999999998,1904.518,24739.748
2011-03-19,25.008000000000003,71.53800000000001,494.21600000000007
2011-03-20,0.0,0.0,0.0
2011-03-21,251.328,358.558,3499.9300000000003
2011-03-22,314.352,149.741,0.0
2011-03-23,0.0,340.31199999999995,604.752
2011-03-24,40.48,24.900000000000002,0.0
2011-03-25,366.786,46.879999999999995,45.48
2011-03-26,0.0,50.04600000000001,95.084
2011-03-27,0.0,0.0,0.0
2011-03-28,1515.308,6.12,302.376
2011-03-29,890.8409999999999,0.0,0.0
2011-03-30,332.96799999999996,585.4100000000001,251.94400000000002
2011-03-31,1125.4879999999998,754.08,79.98400000000001
2011-04-01,0.0,119.88799999999999,0.0
2011-04-02,177.68,230.94800000000004,1049.93
2011-04-03,0.0,11.16,222.29
2011-04-04,5.47,370.394,99.98
2011-04-05,0.0,5266.107999999999,28.99
2011-04-06,933.384,266.652,450.654
2011-04-07,8.96,181.29000000000002,830.9199999999998
2011-04-08,1487.622,71.168,399.96
2011-04-09,0.0,0.0,0.0
2011-04-10,0.0,0.0,0.0
2011-04-11,0.0,113.944,1801.2960000000003
2011-04-12,308.499,90.168,1513.4560000000001
2011-04-13,0.0,566.648,71.928
2011-04-14,0.0,0.0,0.0
2011-04-15,187.76,106.96,0.0
2011-04-16,0.0,39.072,0.0
2011-04-17,0.0,0.0,0.0
2011-04-18,317.058,187.53,515.944
2011-04-19,76.14,129.33,0.0
2011-04-20,1205.61,44.84000000000001,0.0
2011-04-21,0.0,845.3599999999999,0.0
2011-04-22,0.0,257.752,0.0
2011-04-23,585.0799999999999,58.9,0.0
2011-04-24,0.0,0.0,0.0
2011-04-25,1790.29,287.328,302.376
2011-04-26,230.28000000000003,52.288000000000004,0.0
2011-04-27,0.0,0.0,0.0
2011-04-28,0.0,738.5360000000001,1839.94
2011-04-29,631.004,117.86000000000001,19.98
2011-04-30,0.0,1000.95,47.79
2011-05-01,0.0,0.0,0.0
2011-05-02,0.0,26.136000000000003,479.98400000000004
2011-05-03,0.0,72.632,0.0
2011-05-04,39.64,147.792,0.0
2011-05-05,127.869,133.108,0.0
2011-05-06,0.0,254.456,0.0
2011-05-07,1066.5700000000002,24.78,0.0
2011-05-08,0.0,0.0,1799.9699999999998
2011-05-09,0.0,158.70999999999998,235.76999999999998
2011-05-10,606.749,261.45,1475.6000000000001
2011-05-11,1279.072,157.962,205.768
2011-05-12,734.846,0.0,0.0
2011-05-13,279.456,468.956,149.97
2011-05-14,310.88000000000005,0.0,0.0
2011-05-15,0.0,0.0,0.0
2011-05-16,232.88,0.0,56.400000000000006
2011-05-17,0.0,91.67999999999999,0.0
2011-05-18,149.232,19.92,779.796
2011-05-19,0.0,91.62,0.0
2011-05-20,150.192,149.128,20.784000000000002
2011-05-21,107.772,3538.5860000000002,617.97
2011-05-22,0.0,0.0,180.93
2011-05-23,0.0,268.57,55.188
2011-05-24,0.0,116.28,0.0
2011-05-25,29.32,90.21999999999998,0.0
2011-05-26,875.734,164.416,285.568
2011-05-27,567.12,376.78,1213.494
2011-05-28,0.0,136.96,85.00800000000001
2011-05-29,0.0,0.0,0.0
2011-05-30,355.455,385.482,1183.976
2011-05-31,0.0,0.0,773.7
2011-06-01,2024.0600000000002,2282.5299999999997,881.93
2011-06-02,73.32000000000001,425.308,239.96999999999997
2011-06-03,577.424,163.912,0.0
2011-06-04,424.48799999999994,31.784,0.0
2011-06-05,0.0,0.0,0.0
2011-06-06,991.7640000000001,382.23699999999997,0.0
2011-06-07,268.935,12.461999999999996,0.0
2011-06-08,755.904,1745.3600000000001,0.0
2011-06-09,3233.744,338.712,1890.5520000000001
2011-06-10,0.0,491.55,0.0
2011-06-11,0.0,0.0,0.0
2011-06-12,0.0,0.0,0.0
2011-06-13,0.0,14.52,0.0
2011-06-14,212.94,0.0,0.0
2011-06-15,897.862,45.112,0.0
2011-06-16,647.84,115.952,0.0
2011-06-17,6.24,3346.2920000000004,65.97
2011-06-18,0.0,0.0,139.8
2011-06-19,0.0,0.0,0.0
2011-06-20,193.0656,1015.5000000000001,620.384
2011-06-21,107.994,255.92000000000002,3743.529
2011-06-22,1023.9879999999998,671.9760000000001,279.534
2011-06-23,0.0,23.119999999999997,86.376
2011-06-24,4.272,0.0,0.0
2011-06-25,447.84,80.96000000000001,263.96000000000004
2011-06-26,0.0,0.0,0.0
2011-06-27,85.98,306.2,223.96
2011-06-28,1228.465,417.32599999999996,0.0
2011-06-29,0.0,46.67999999999999,0.0
2011-06-30,0.0,739.624,0.0
2011-07-01,0.0,25.104000000000003,575.92
2011-07-02,0.0,5.58,73.98
2011-07-03,0.0,0.0,0.0
2011-07-04,0.0,247.40800000000002,0.0
2011-07-05,232.73600000000002,731.3980000000001,479.97
2011-07-06,478.48,0.0,559.9920000000001
2011-07-07,241.194,0.0,0.0
2011-07-08,566.3700000000001,196.704,0.0
2011-07-09,119.83299999999998,145.68800000000002,0.0
2011-07-10,0.0,0.0,0.0
2011-07-11,979.0500000000001,269.368,938.7880000000001
2011-07-12,1333.846,346.39,279.77600000000007
2011-07-13,351.216,0.0,0.0
2011-07-14,31.983999999999998,184.856,75.75399999999999
2011-07-15,0.0,6.540000000000001,2.9699999999999998
2011-07-16,0.0,0.0,0.0
2011-07-17,0.0,0.0,0.0
2011-07-18,259.136,13.904,0.0
2011-07-19,70.55999999999999,30.786,359.98
2011-07-20,1041.132,1202.714,41.94
2011-07-21,1732.346,193.156,35.98
2011-07-22,888.0720000000001,300.292,159.98
2011-07-23,0.0,58.10000000000001,2555.084
2011-07-24,0.0,0.0,0.0
2011-07-25,77.92,8263.369999999999,0.0
2011-07-26,919.4480000000001,2494.5259999999994,1626.02
2011-07-27,0.0,342.05999999999995,238.0
2011-07-28,129.888,63.264,0.0
2011-07-29,0.0,0.0,0.0
2011-07-30,1367.84,0.0,0.0
2011-07-31,0.0,0.0,0.0
2011-08-01,44.128,184.20000000000002,0.0
2011-08-02,0.0,865.08,21.2
2011-08-03,218.75,259.244,0.0
2011-08-04,0.0,2087.774,655.38
2011-08-05,1962.724,293.65,152.35000000000002
2011-08-06,0.0,0.0,262.89
2011-08-07,0.0,0.0,0.0
2011-08-08,658.472,705.275,2591.882
2011-08-09,0.0,2116.965,1488.7200000000003
2011-08-10,0.0,0.0,0.0
2011-08-11,12.35,439.27,0.0
2011-08-12,85.44,509.066,1237.874
2011-08-13,0.0,0.0,0.0
2011-08-14,0.0,0.0,0.0
2011-08-15,195.136,647.646,0.0
2011-08-16,853.0919999999999,0.0,0.0
2011-08-17,0.0,160.382,339.96
2011-08-18,0.0,0.0,0.0
2011-08-19,928.0600000000001,511.046,0.0
2011-08-20,921.612,917.11,0.0
2011-08-21,0.0,0.0,0.0
2011-08-22,0.0,23.104000000000003,0.0
2011-08-23,4.224,417.36,143.64000000000001
2011-08-24,13.28,46.46,0.0
2011-08-25,6.28,342.326,1103.044
2011-08-26,10.68,29.36,326.77
2011-08-27,1232.06,44.64,793.43
2011-08-28,0.0,0.0,0.0
2011-08-29,174.0585,658.2640000000001,0.0
2011-08-30,0.0,121.24,0.0
2011-08-31,0.0,0.0,92.52
2011-09-01,0.0,112.436,357.0
2011-09-02,70.71,1907.81,1275.63
2011-09-03,0.0,22.08,0.0
2011-09-04,0.0,0.0,0.0
2011-09-05,31.983999999999998,264.32,0.0
2011-09-06,41.88,58.48,0.0
2011-09-07,1714.5929999999998,651.076,1158.2060000000001
2011-09-08,3855.4439999999995,1692.2559999999999,8680.728
2011-09-09,864.0239999999999,1679.354,1500.21
2011-09-10,1741.94,113.28800000000001,0.0
2011-09-11,127.94999999999999,0.0,0.0
2011-09-12,3825.8520000000003,936.202,142.606
2011-09-13,354.306,206.162,714.94
2011-09-14,629.7800000000001,1289.0159999999998,3104.92
2011-09-15,118.496,14.940000000000001,0.0
2011-09-16,0.0,33.552,0.0
2011-09-17,35.34,651.354,133.829
2011-09-18,0.0,0.0,0.0
2011-09-19,961.0179999999999,172.694,8204.925
2011-09-20,3071.6400000000003,213.368,2050.96
2011-09-21,8.544,384.77,2286.338
2011-09-22,676.9680000000001,563.298,0.0
2011-09-23,435.999,10142.354000000001,83.98400000000001
2011-09-24,0.0,211.96,0.0
2011-09-25,300.53279999999995,54.356,0.0
2011-09-26,752.304,571.334,156.976
2011-09-27,691.4599999999999,81.98,0.0
2011-09-28,337.088,153.20399999999998,0.0
2011-09-29,3153.3880000000004,4269.362,686.32
2011-09-30,15.24,972.2920000000001,0.0
2011-10-01,0.0,4.71,0.0
2011-10-02,0.0,42.208,555.936
2011-10-03,555.8389999999999,164.35600000000002,142.488
2011-10-04,589.41,139.33800000000002,0.0
2011-10-05,0.0,91.92,99.98
2011-10-06,0.0,485.62,9.09
2011-10-07,129.92,107.44,0.0
2011-10-08,0.0,123.92,23.472
2011-10-09,0.0,233.36800000000002,15.991999999999999
2011-10-10,169.224,302.27199999999993,1577.8900000000003
2011-10-11,505.9580000000001,530.206,345.0
2011-10-12,0.0,58.53,0.0
2011-10-13,1544.53,618.9119999999999,48.74
2011-10-14,1628.82,719.7040000000001,2176.96
2011-10-15,198.75599999999997,7.968000000000001,0.0
2011-10-16,0.0,14.352000000000002,179.97
2011-10-17,5.312,10.779999999999996,119.97600000000001
2011-10-18,1151.22,588.746,1394.95
2011-10-19,0.0,201.976,439.12800000000004
2011-10-20,328.59000000000003,852.546,319.968
2011-10-21,1000.9100000000001,355.692,0.0
2011-10-22,223.808,0.0,0.0
2011-10-23,0.0,0.0,0.0
2011-10-24,0.0,56.49,0.0
2011-10-25,0.0,63.106,40.775999999999996
2011-10-26,63.92,0.0,383.96000000000004
2011-10-27,0.0,22.320000000000004,0.0
2011-10-28,616.998,635.604,257.98
2011-10-29,0.0,75.88,2737.9320000000002
2011-10-30,0.0,0.0,0.0
2011-10-31,3591.032,703.164,1067.83
2011-11-01,100.38399999999999,1512.912,3118.784
2011-11-02,89.34,417.02200000000005,1620.008
2011-11-03,1355.388,554.845,873.9300000000001
2011-11-04,744.9499999999999,206.566,5742.232
2011-11-05,443.50800000000004,1093.29,157.766
2011-11-06,0.0,43.68,0.0
2011-11-07,683.1439999999999,765.998,0.0
2011-11-08,0.0,0.0,333.576
2011-11-09,279.186,590.94,703.9680000000001
2011-11-10,657.02,733.01,612.526
2011-11-11,2071.424,4415.426,1627.6979999999999
2011-11-12,722.1852000000001,125.08000000000001,207.496
2011-11-13,0.0,0.0,0.0
2011-11-14,69.264,132.536,832.93
2011-11-15,10.11,998.2420000000001,772.47
2011-11-16,343.27049999999997,658.73,353.928
2011-11-17,5270.080000000001,6174.214,99.98
2011-11-18,2191.732,665.571,549.5519999999999
2011-11-19,1025.8799999999999,639.02,5561.186000000001
2011-11-20,0.0,73.62,833.94
2011-11-21,0.0,849.6819999999999,399.94
2011-11-22,0.0,1103.298,0.0
2011-11-23,1147.1,180.64600000000002,35.534
2011-11-24,1029.808,1884.662,2664.136
2011-11-25,2302.9669999999996,1548.136,564.592
2011-11-26,19.3,968.394,718.296
2011-11-27,199.89999999999998,3.76,0.0
2011-11-28,808.932,333.118,1138.78
2011-11-29,0.0,73.124,575.92
2011-11-30,0.0,116.91400000000002,102.24000000000001
2011-12-01,4513.606,82.92800000000001,1027.8559999999998
2011-12-02,1282.8,243.298,245.71
2011-12-03,0.0,25.92,479.96
2011-12-04,0.0,0.0,129.98
2011-12-05,0.0,2170.252,793.39
