,Furniture,Office Supplies,Technology
2011-01-09,2650.5480000000002,1019.814,1147.94
2011-01-16,1003.7789999999999,2039.3500000000004,827.8900000000001
2011-01-23,1747.332,871.0780000000001,824.13
2011-01-30,550.2,680.338,343.33
2011-02-06,290.666,502.682,649.86
2011-02-13,1794.1779999999999,247.81199999999998,656.37
2011-02-20,25.16,433.98799999999994,239.96999999999997
2011-02-27,20.32,108.286,62.31
2011-03-06,2822.797,1377.0,647.1
2011-03-13,975.3040000000002,1625.0980000000002,620.9300000000001
2011-03-20,5938.304,3307.19,26363.594
2011-03-27,972.9459999999999,970.437,4245.246
2011-04-03,4042.2849999999994,1707.6060000000002,1906.5240000000001
2011-04-10,2435.436,6155.611999999999,1810.504
2011-04-17,496.259,916.7920000000001,3386.6800000000003
2011-04-24,2183.888,1523.712,515.944
2011-05-01,2651.574,2196.962,2210.0860000000002
2011-05-08,1234.0790000000002,658.904,2279.9539999999997
2011-05-15,3211.003,1047.078,2067.108
2011-05-22,640.076,3890.934,1655.88
2011-05-29,1472.174,1153.2259999999999,1639.2579999999998
2011-06-05,3454.7470000000003,3289.0159999999996,3079.576
2011-06-12,5250.347,2970.3210000000004,1890.5520000000001
2011-06-19,1764.882,3521.876,205.77
2011-06-26,1777.1596,2047.476,4993.783
2011-07-03,1314.445,1540.514,873.86
2011-07-10,1638.613,1321.198,1039.962
2011-07-17,2696.096,807.154,1297.2880000000002
2011-07-24,3991.246,1798.952,3152.964
2011-07-31,2495.096,11163.219999999998,1864.02
2011-08-07,2225.602,3689.9480000000003,1091.8200000000002
2011-08-14,756.262,3770.576,5318.476000000001
2011-08-21,2897.8999999999996,2236.184,339.96
2011-08-28,1266.524,903.25,2366.884
2011-09-04,244.76850000000002,2821.83,1725.15
2011-09-11,8377.814999999999,4458.773999999999,11339.144
2011-09-18,4963.774,3131.2259999999997,4096.295
2011-09-25,5454.701800000001,11742.800000000003,12626.207
2011-10-02,4949.4800000000005,6095.09,1399.232
2011-10-09,1275.1689999999999,1345.962,291.022
2011-10-16,4047.288,2251.944,4328.56
2011-10-23,2709.84,2009.74,2274.0220000000004
2011-10-30,680.918,853.4,3420.6480000000006
2011-11-06,6324.602,4531.479,12580.55
2011-11-13,4412.9592,6630.454000000001,3485.264
2011-11-20,8910.336500000001,9341.932999999999,9003.986
2011-11-27,4699.075,6538.5779999999995,4382.4980000000005
2011-12-04,6605.338,875.302,3700.446
2011-12-11,1586.784,5022.338,2065.006
2011-12-18,9223.040500000001,572.629,8781.732
2011-12-25,8222.316,4794.616,3006.986
2012-01-01,5817.42,7264.733,5155.962
2012-01-08,2058.6515999999997,493.97,1738.9660000000003
2012-01-15,1560.5539999999999,919.446,379.066
2012-01-22,556.4860000000001,95.64000000000001,0.0
2012-01-29,7283.55,239.5,587.346
2012-02-05,536.902,146.888,2069.946
2012-02-12,1797.444,1323.832,627.262
2012-02-19,35.544000000000004,916.224,1996.848
2012-02-26,0.0,3020.8959999999997,29.99
2012-03-04,3245.4644,250.091,756.7240000000002
2012-03-11,2703.469,1157.354,3603.464
2012-03-18,1637.2340000000002,7684.667999999999,117.69600000000001
2012-03-25,989.1555999999999,4996.281,6013.752
2012-04-01,4969.644,1814.604,497.18600000000004
2012-04-08,1907.794,2322.502,1575.0200000000002
2012-04-15,2303.232,1295.744,1925.53
